Time,Faults,CDF
1,1,1
2,6,7
3,0,7
4,2,9
5,0,9
6,0,9
7,3,12
8,6,18
9,0,18
10,0,18
11,0,18
12,3,21
13,1,22
14,0,22
15,5,27
16,3,30
17,15,45
18,2,47
19,2,49
20,2,51
21,2,53
22,0,53
23,0,53
24,0,53
25,0,53
26,0,53
27,0,53
28,0,53
29,0,53
30,0,53
31,0,53
32,1,54
33,2,56
34,2,58
35,1,59
36,1,60
37,3,63
38,7,70
39,1,71
40,0,71
41,1,72
42,2,74
43,0,70
44,6,84
45,4,84
46,0,84
47,0,84
48,0,84
49,1,85
50,1,86
51,3,89
52,1,90
53,0,90
54,2,92
55,16,108
56,12,120
57,8,128
58,1,129
59,10,139
60,7,146
